,year,boat_type,section_code,race_number,order,team,500m,1000m,1500m,2000m,lane,qualify
434,2000,w2x,決勝,171,,,,,,,6,
435,2000,w2x,決勝,171,,,,,,,6,
436,2000,w2x,決勝,171,,,,,,,6,
437,2000,w2x,決勝,171,,,,,,,6,
438,2000,m2-,予選A組,29,,,,,,,6,
439,2000,m2-,予選A組,29,,,,,,,6,
440,2000,m2-,予選A組,29,,,,,,,6,
441,2000,m2-,予選A組,29,,,,,,,6,
442,2000,m2-,予選A組,29,,,,,,,6,
443,2000,m2-,予選A組,29,,,,,,,6,
444,2000,m2-,予選B組,30,,,,,,,6,
445,2000,m2-,予選B組,30,,,,,,,6,
446,2000,m2-,予選B組,30,,,,,,,6,
447,2000,m2-,予選B組,30,,,,,,,6,
448,2000,m2-,予選B組,30,,,,,,,6,
449,2000,m2-,予選B組,30,,,,,,,6,
450,2000,m2-,予選C組,31,,,,,,,6,
451,2000,m2-,予選C組,31,,,,,,,6,
452,2000,m2-,予選C組,31,,,,,,,6,
453,2000,m2-,予選C組,31,,,,,,,6,
454,2000,m2-,予選C組,31,,,,,,,6,
455,2000,m2-,予選C組,31,,,,,,,6,
456,2000,m2-,予選D組,32,,,,,,,6,
457,2000,m2-,予選D組,32,,,,,,,6,
458,2000,m2-,予選D組,32,,,,,,,6,
459,2000,m2-,予選D組,32,,,,,,,6,
460,2000,m2-,予選D組,32,,,,,,,6,
461,2000,m2-,予選D組,32,,,,,,,6,
462,2000,m2-,敗復A組,88,,,,,,,6,
463,2000,m2-,敗復A組,88,,,,,,,6,
464,2000,m2-,敗復A組,88,,,,,,,6,
465,2000,m2-,敗復A組,88,,,,,,,6,
466,2000,m2-,敗復A組,88,,,,,,,6,
467,2000,m2-,敗復A組,88,,,,,,,6,
468,2000,m2-,敗復B組,89,,,,,,,6,
469,2000,m2-,敗復B組,89,,,,,,,6,
470,2000,m2-,敗復B組,89,,,,,,,6,
471,2000,m2-,敗復B組,89,,,,,,,6,
472,2000,m2-,敗復B組,89,,,,,,,6,
473,2000,m2-,敗復B組,89,,,,,,,6,
474,2000,m2-,敗復C組,90,,,,,,,6,
475,2000,m2-,敗復C組,90,,,,,,,6,
476,2000,m2-,敗復C組,90,,,,,,,6,
477,2000,m2-,敗復C組,90,,,,,,,6,
478,2000,m2-,敗復C組,90,,,,,,,6,
479,2000,m2-,敗復C組,90,,,,,,,6,
480,2000,m2-,敗復D組,91,,,,,,,6,
481,2000,m2-,敗復D組,91,,,,,,,6,
482,2000,m2-,敗復D組,91,,,,,,,6,
483,2000,m2-,敗復D組,91,,,,,,,6,
484,2000,m2-,敗復D組,91,,,,,,,6,
