,year,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
295,2001,112,w2x,決勝,2,早稲田大学,115.39,235.66,356.07,478.9,2,
296,2001,112,w2x,決勝,4,龍谷大学A,120.44,242.21,363.38,488.84,3,
297,2001,112,w2x,決勝,5,東京経済大学,121.37,242.93,368.3,497.67,4,
300,2001,25,m1x,予選A組,6,柴田誠(北海道大学A),110.75,221.78,337.78,456.18,1,->Semi-Final
301,2001,25,m1x,予選A組,2,山本博之(東レ滋賀B),111.34,227.5,344.74,464.06,2,
302,2001,25,m1x,予選A組,3,堀信介(北海道大学B),114.8,232.4,349.34,466.35,3,
303,2001,25,m1x,予選A組,1,近藤千眞(京都大学),115.12,239.46,371.14,505.66,4,
304,2001,25,m1x,予選A組,4,中村英史(中央大学),119.75,245.79,377.58,515.13,5,
305,2001,25,m1x,予選A組,5,佐々木健一(小樽商科大学B),127.43,262.8,404.54,564.41,6,
306,2001,26,m1x,予選B組,6,谷田川潤(江戸川大学A),111.44,229.94,351.24,475.67,1,->Semi-Final
307,2001,26,m1x,予選B組,3,井上将(立命館大学B),115.41,238.52,364.35,495.45,2,
308,2001,26,m1x,予選B組,1,渡辺智寛(本郷高校),122.66,248.24,374.49,501.14,3,
309,2001,26,m1x,予選B組,4,中川厚(東京経済大学),118.66,245.66,376.3,505.54,4,
310,2001,26,m1x,予選B組,5,石館毅洋(慶應義塾大学A),117.44,240.59,371.54,505.74,5,
311,2001,26,m1x,予選B組,2,殿岡亮介(東京漕艇倶楽部A),121.51,252.76,391.14,528.55,6,
312,2001,27,m1x,予選C組,2,藤川浩史(松山大学B),112.55,231.85,351.94,467.59,1,->Semi-Final
313,2001,27,m1x,予選C組,4,口野雅也(東レ滋賀A),115.62,234.32,356.04,474.72,2,
314,2001,27,m1x,予選C組,1,蜂谷大輔(茨城大学),113.41,232.5,359.91,483.36,3,
315,2001,27,m1x,予選C組,6,加藤淳志(慶應義塾大学B),117.6,239.92,367.95,492.4,4,
316,2001,27,m1x,予選C組,3,田渕順平(清風高校B),118.25,242.79,369.34,494.78,5,
317,2001,27,m1x,予選C組,5,清水大輔(兵庫大学),119.16,246.06,372.9,504.06,6,
318,2001,28,m1x,予選D組,2,濱田寛顕(米子漕艇クラブ),112.74,229.68,348.87,468.51,1,->Semi-Final
319,2001,28,m1x,予選D組,5,下鳥健吾(徳島大学A),113.45,231.64,350.26,470.04,2,
320,2001,28,m1x,予選D組,6,山田崇文(富山国際大学A),114.92,235.57,357.72,483.66,3,
321,2001,28,m1x,予選D組,1,西原寛晃(立命館大学A),114.36,235.04,357.94,484.34,4,
322,2001,28,m1x,予選D組,3,山川惇太郎(北海道大学C),113.8,234.49,360.44,487.89,5,
323,2001,28,m1x,予選D組,4,斎藤亮平(成城大学),115.24,244.28,,512.56,6,
324,2001,29,m1x,予選E組,2,松田一真(日本体育大学B),112.48,232.38,355.44,479.4,1,->Semi-Final
325,2001,29,m1x,予選E組,4,新堀澄人(学習院大学A),115.78,238.58,367.89,500.28,2,
326,2001,29,m1x,予選E組,5,吉川修(早稲田大学D),125.95,252.64,380.44,509.79,3,
327,2001,29,m1x,予選E組,3,斎藤功(新潟大学),126.24,257.31,387.44,517.38,4,
