,year,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
176,2000,64,w4+,敗復D組,2,香川大学,122.71,247.99,373.51,477.29,3.0,
180,2000,127,w4+,準決A組,4,鹿屋体育大学,115.12,231.25,348.38,464.32,1.0,->Final A
181,2000,127,w4+,準決A組,2,北海道大学,115.66,230.93,348.58,464.64,2.0,->Final A
182,2000,127,w4+,準決A組,3,神戸大学,113.81,231.61,348.81,465.39,3.0,->Final B
183,2000,127,w4+,準決A組,5,法政大学,127.21,239.5,363.35,489.14,4.0,->Final B
186,2000,128,w4+,準決B組,3,龍谷大学,110.38,224.9,343.39,462.78,1.0,->Final A
187,2000,128,w4+,準決B組,2,東京外国語大学,116.97,235.44,357.12,475.28,2.0,->Final A
188,2000,128,w4+,準決B組,5,滋賀大学教育学部,119.82,241.1,366.34,485.99,3.0,->Final B
189,2000,128,w4+,準決B組,4,山口大学,119.15,242.35,366.44,486.23,4.0,->Final B
192,2000,166,w4+,順決,3,神戸大学,113.89,232.76,352.39,466.99,1.0,
193,2000,166,w4+,順決,4,滋賀大学教育学部,119.58,239.89,359.46,475.42,2.0,
194,2000,166,w4+,順決,5,法政大学,118.82,238.14,359.66,476.68,3.0,
195,2000,166,w4+,順決,2,山口大学,117.08,239.17,361.5,480.23,4.0,
198,2000,167,w4+,決勝,3,龍谷大学,107.26,220.46,334.52,449.47,1.0,
199,2000,167,w4+,決勝,4,鹿屋体育大学,112.7,228.92,345.35,459.98,2.0,
200,2000,167,w4+,決勝,2,北海道大学,110.16,228.35,346.64,462.92,3.0,
201,2000,167,w4+,決勝,5,東京外国語大学,114.06,231.28,349.24,463.87,4.0,
204,2000,19,m2x,予選A組,2,松山大学,108.23,225.05,344.55,464.12,1.0,->Semi-Final
205,2000,19,m2x,予選A組,3,弘前大学,114.01,235.05,356.06,478.99,2.0,
206,2000,19,m2x,予選A組,4,鳥取大学,118.72,242.4,366.24,491.52,3.0,
207,2000,19,m2x,予選A組,5,京都大学,122.47,242.6,367.94,496.49,4.0,
208,2000,19,m2x,予選A組,6,中京大学,119.17,242.78,372.74,504.54,5.0,
209,2000,19,m2x,予選A組,1,徳島大学,121.35,251.91,382.52,514.24,6.0,
210,2000,20,m2x,予選B組,3,北海道大学,106.42,218.35,334.94,450.24,1.0,->Semi-Final
211,2000,20,m2x,予選B組,4,兵庫大学,106.91,222.51,340.35,453.59,2.0,
212,2000,20,m2x,予選B組,5,同志社大学,107.35,221.24,339.0,455.37,3.0,
213,2000,20,m2x,予選B組,1,慶應義塾大学,114.72,232.44,353.88,475.74,4.0,
214,2000,20,m2x,予選B組,6,東北大学,117.15,237.86,359.85,483.55,5.0,
215,2000,20,m2x,予選B組,2,島根大学,120.01,247.47,375.94,502.63,6.0,
216,2000,21,m2x,予選C組,1,日本体育大学,106.98,217.24,328.77,440.14,1.0,->Semi-Final
217,2000,21,m2x,予選C組,2,立命館大学,105.32,216.25,331.48,449.08,2.0,
218,2000,21,m2x,予選C組,5,日本医科大学,113.57,227.02,344.13,461.86,3.0,
219,2000,21,m2x,予選C組,3,新潟大学,117.62,241.07,367.65,490.97,4.0,
220,2000,21,m2x,予選C組,4,東京外国語大学,129.0,258.79,394.63,524.69,5.0,
221,2000,21,m2x,予選C組,6,名古屋大学,131.86,267.46,406.23,543.06,6.0,
222,2000,22,m2x,予選D組,3,日本大学,102.17,211.4,322.58,437.92,1.0,->Semi-Final
223,2000,22,m2x,予選D組,6,鹿屋体育大学,109.71,224.95,342.59,460.87,2.0,
224,2000,22,m2x,予選D組,5,金沢大学,112.55,230.72,350.7,470.5,3.0,
225,2000,22,m2x,予選D組,1,一橋大学,109.92,225.25,348.0,470.87,4.0,
226,2000,22,m2x,予選D組,2,静岡大学,114.77,234.1,355.15,477.82,5.0,
227,2000,22,m2x,予選D組,4,甲南大学,115.63,239.15,366.66,495.41,6.0,
228,2000,23,m2x,予選E組,4,東京経済大学,113.46,229.01,346.54,465.5,1.0,->Semi-Final
229,2000,23,m2x,予選E組,1,立教大学,112.18,231.19,350.54,471.86,2.0,
230,2000,23,m2x,予選E組,2,青山学院大学,118.27,238.95,360.77,477.66,3.0,
231,2000,23,m2x,予選E組,3,東京都立大学,114.61,234.66,357.85,480.14,4.0,
232,2000,23,m2x,予選E組,5,成城大学,119.21,240.6,364.88,488.49,5.0,
233,2000,23,m2x,予選E組,6,東京大学,117.78,240.1,365.58,489.23,6.0,
234,2000,24,m2x,予選F組,4,明治大学,104.69,218.24,330.52,442.46,1.0,->Semi-Final
235,2000,24,m2x,予選F組,2,静岡産業大学,117.54,241.09,364.09,488.38,2.0,
236,2000,24,m2x,予選F組,3,石巻専修大学,123.47,249.54,373.18,498.0,3.0,
