year,nace_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,500m(s),1000m(s),1500m(s),2000m(s),order,qualify
2012,34,w2x,予選H組,3,小樽商科大学A,02:06.40,04:23.70,06:41.69,08:54.73,126.4,263.7,401.69,534.73,6,
2012,74,w2x,敗復A組,3,東京経済大学A,01:57.50,04:00.38,06:07.79,08:12.60,117.5,240.38,367.79,492.6,1,→Semi-Final
2012,74,w2x,敗復A組,4,一橋大学A,02:01.62,04:07.21,06:14.47,08:17.01,121.62,247.21,374.47,497.01,2,
2012,74,w2x,敗復A組,5,東京医科歯科大学,02:06.18,04:15.32,06:29.57,08:43.58,126.18,255.32,389.57,523.58,3,
2012,74,w2x,敗復A組,2,小樽商科大学A,02:10.62,04:24.40,06:39.09,08:51.32,130.62,264.4,399.09000000000003,531.32,4,
2012,75,w2x,敗復B組,4,早稲田大学,01:55.13,03:57.77,06:04.11,08:08.85,115.13,237.77,364.11,488.85,1,→Semi-Final
2012,75,w2x,敗復B組,3,慶應義塾大学A,01:59.09,04:03.90,06:11.88,08:15.63,119.09,243.9,371.88,495.63,2,
2012,75,w2x,敗復B組,5,北海道大学,02:02.33,04:11.73,06:24.31,08:36.88,122.33,251.73,384.31,516.88,3,
2012,75,w2x,敗復B組,2,成蹊大学,02:04.63,04:15.34,06:30.39,08:43.43,124.63,255.34,390.39,523.43,4,
2012,75,w2x,敗復B組,1,学習院大学B,02:29.39,05:04.30,07:37.21,10:06.48,149.39,304.3,457.21,6.48,5,
2012,76,w2x,敗復C組,3,今治西高校B,01:59.82,04:04.97,06:13.35,08:21.57,119.82,244.97,373.35,501.57,1,→Semi-Final
2012,76,w2x,敗復C組,4,阿賀黎明高校,01:59.19,04:06.30,06:29.49,08:35.42,119.19,246.3,389.49,515.42,2,
2012,76,w2x,敗復C組,2,今治西高校A,02:08.19,04:25.77,06:41.26,08:47.57,128.19,265.77,401.26,527.57,3,
2012,76,w2x,敗復C組,5,一橋大学B,02:11.42,04:24.53,06:43.08,08:59.36,131.42,264.53,403.08,539.36,4,
2012,76,w2x,敗復C組,1,東北大学B,02:15.49,04:38.25,07:02.14,09:26.39,135.49,278.25,422.14,566.39,5,
2012,77,w2x,敗復D組,3,法政大学,01:55.47,04:01.85,06:07.92,08:16.38,115.47,241.85,367.92,496.38,1,→Semi-Final
2012,77,w2x,敗復D組,4,龍谷大学C,02:01.26,04:11.42,06:17.17,08:24.00,121.26,251.42,377.17,504.0,2,
2012,77,w2x,敗復D組,2,山口大学,02:03.14,04:13.89,06:22.76,08:35.01,123.14,253.89,382.76,515.01,3,
2012,77,w2x,敗復D組,5,筑波大学B,02:08.81,04:24.45,06:37.00,08:53.56,128.81,264.45,397.0,533.56,4,
2012,77,w2x,敗復D組,1,慶應義塾大学B,02:17.46,04:46.24,07:12.84,09:42.69,137.46,286.24,432.84,582.69,5,
2012,78,w2x,敗復E組,3,龍谷大学A,01:57.75,04:01.63,06:05.20,08:10.58,117.75,241.63,365.2,490.58,1,→Semi-Final
2012,78,w2x,敗復E組,4,名古屋大学A,02:03.00,04:08.45,06:13.30,08:21.51,123.0,248.45,373.3,501.51,2,
2012,78,w2x,敗復E組,2,京都大学,02:07.76,04:14.78,06:20.96,08:31.65,127.76,254.78,380.96,511.65,3,
2012,78,w2x,敗復E組,5,滋賀大学経済学部,02:16.14,04:27.26,06:41.10,08:58.74,136.14,267.26,401.1,538.74,4,
2012,78,w2x,敗復E組,1,大阪府立大学,02:21.10,04:41.05,07:02.28,09:30.68,141.1,281.05,422.28,570.68,5,
2012,79,w2x,敗復F組,3,立命館大学,01:57.42,04:01.02,06:08.89,08:13.02,117.42,241.02,368.89,493.02,1,→Semi-Final
2012,79,w2x,敗復F組,4,龍谷大学B,02:04.16,04:12.20,06:23.61,08:32.99,124.16,252.2,383.61,512.99,2,
