year,boat_type,section_code,race_number,order,team,500m,1000m,1500m,2000m,lane,qualify
2000,m2x,敗復C組,80,5,創価大学,02:19.77,04:22.18,06:56.52,09:12.46,1,
2000,m2x,敗復D組,81,1,神戸大学,01:47.55,03:38.37,05:29.85,07:20.25,4,->Semi-Final
2000,m2x,敗復D組,81,2,鹿屋体育大学,01:55.16,03:46.13,05:36.79,07:24.87,3,
2000,m2x,敗復D組,81,3,静岡産業大学,01:49.42,03:41.46,05:34.88,07:26.18,2,
2000,m2x,敗復D組,81,4,京都大学,01:52.32,03:44.93,05:42.14,07:38.94,5,
2000,m2x,敗復D組,81,5,大同工業大学,02:06.12,04:14.47,06:30.69,08:40.45,1,
2000,m2x,敗復E組,82,1,東北学院大学,01:45.34,03:34.12,05:22.64,07:12.66,3,->Semi-Final
2000,m2x,敗復E組,82,2,東北大学,01:52.28,03:42.12,05:40.00,07:31.46,2,
2000,m2x,敗復E組,82,3,追手門学院大学,01:52.26,03:48.58,05:43.24,07:34.74,4,
2000,m2x,敗復E組,82,4,石巻専修大学,01:53.30,03:50.80,05:47.39,07:41.18,5,
2000,m2x,敗復E組,82,5,名古屋大学,02:03.90,04:10.77,06:24.55,08:35.56,1,
2000,m2x,敗復F組,83,1,慶應義塾大学,01:47.68,03:40.56,05:32.51,07:27.04,4,->Semi-Final
2000,m2x,敗復F組,83,2,東京都立大学,01:50.72,03:45.39,05:38.22,07:33.48,2,
2000,m2x,敗復F組,83,3,島根大学,01:53.92,03:53.28,05:52.01,07:50.82,5,
2000,m2x,敗復F組,83,4,東京外国語大学,01:58.86,04:01.71,06:01.82,08:08.65,1,
2000,m2x,敗復G組,84,1,兵庫大学,01:46.28,03:39.41,05:35.49,07:30.92,3,->Semi-Final
2000,m2x,敗復G組,84,2,青山学院大学,01:53.45,03:47.40,05:44.19,07:41.20,4,
2000,m2x,敗復G組,84,3,富山国際大学,01:51.90,03:44.63,05:45.02,07:45.58,2,
2000,m2x,敗復G組,84,4,中京大学,01:59.84,04:00.14,06:15.44,08:22.75,5,
2000,m2x,敗復G組,84,5,東京農業大学,01:58.48,04:01.59,06:12.66,08:22.93,1,
2000,m2x,敗復H組,85,1,立命館大学,01:43.39,03:33.84,05:27.67,07:22.05,3,->Semi-Final
2000,m2x,敗復H組,85,2,静岡大学,01:51.86,03:48.15,05:47.66,07:49.70,4,
2000,m2x,敗復H組,85,3,弘前大学,01:55.97,03:56.78,06:00.72,08:10.07,2,
2000,m2x,敗復H組,85,4,愛知工業大学,02:00.12,04:09.28,06:24.90,08:34.67,5,
2000,m2x,敗復H組,85,5,徳島大学,02:00.97,04:09.46,06:31.54,08:56.11,1,
2000,m2x,準決A組,137,1,茨城大学,01:43.96,03:29.95,05:19.88,07:04.78,4,->Final A
2000,m2x,準決A組,137,2,兵庫大学,01:41.11,03:29.64,05:21.39,07:05.70,5,->Final B
