,year,tournament_name,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
123,2015,全日本大学選手権大会,199,m4+,順決,5,大阪府立大学,01:40.61,03:24.94,05:10.02,06:53.74,4,5
124,2015,全日本大学選手権大会,199,m4+,順決,1,,,,,,,1
125,2015,全日本大学選手権大会,199,m4+,順決,6,,,,,,,6
126,2015,全日本大学選手権大会,211,m4+,決勝,2,日本大学,01:34.06,03:12.19,04:53.00,06:32.02,1,2
127,2015,全日本大学選手権大会,211,m4+,決勝,3,明治大学,01:36.50,03:14.83,04:55.42,06:34.73,2,3
128,2015,全日本大学選手権大会,211,m4+,決勝,5,仙台大学,01:36.83,03:15.51,04:57.35,06:36.31,3,5
129,2015,全日本大学選手権大会,211,m4+,決勝,4,一橋大学,01:37.63,03:18.28,04:58.78,06:36.50,4,4
130,2015,全日本大学選手権大会,211,m4+,決勝,1,,,,,,,1
131,2015,全日本大学選手権大会,211,m4+,決勝,6,,,,,,,6
132,2015,全日本大学選手権大会,35,m2x,予選A組,6,鳥取大学,01:41.29,03:30.53,05:20.59,07:14.01,1,6
133,2015,全日本大学選手権大会,35,m2x,予選A組,2,東京海洋大学,01:47.66,03:40.59,05:35.54,07:31.25,2,2
134,2015,全日本大学選手権大会,35,m2x,予選A組,5,一橋大学,01:41.92,03:32.54,05:37.83,07:35.24,3,5
135,2015,全日本大学選手権大会,35,m2x,予選A組,3,東京医科歯科大学,01:46.13,03:40.96,05:37.37,07:35.90,4,3
136,2015,全日本大学選手権大会,35,m2x,予選A組,4,首都大学東京,01:55.13,03:54.39,05:58.61,07:59.58,5,4
137,2015,全日本大学選手権大会,35,m2x,予選A組,1,追手門学院大学,01:54.17,03:58.92,06:06.84,08:12.23,6,1
138,2015,全日本大学選手権大会,36,m2x,予選B組,2,富山国際大学,01:37.69,03:21.28,05:10.50,06:57.34,1,2
139,2015,全日本大学選手権大会,36,m2x,予選B組,1,明治大学,01:41.11,03:27.53,05:15.88,07:00.58,2,1
140,2015,全日本大学選手権大会,36,m2x,予選B組,4,関西学院大学,01:44.25,03:35.55,05:33.39,07:31.41,3,4
141,2015,全日本大学選手権大会,36,m2x,予選B組,6,広島大学,01:49.37,03:44.63,05:43.19,07:42.38,4,6
142,2015,全日本大学選手権大会,36,m2x,予選B組,5,名古屋大学,01:56.22,03:55.79,05:57.16,07:55.65,5,5
143,2015,全日本大学選手権大会,36,m2x,予選B組,3,滋賀大学教育学部,01:54.02,03:55.64,06:00.19,07:59.28,6,3
144,2015,全日本大学選手権大会,37,m2x,予選C組,2,龍谷大学,01:37.98,03:23.08,05:11.25,06:57.97,1,2
145,2015,全日本大学選手権大会,37,m2x,予選C組,1,大阪府立大学,01:46.95,03:31.16,05:19.25,07:07.13,2,1
146,2015,全日本大学選手権大会,37,m2x,予選C組,5,熊本大学,01:42.34,03:33.03,05:25.76,07:17.07,3,5
147,2015,全日本大学選手権大会,37,m2x,予選C組,3,岐阜経済大学,01:45.87,03:37.27,05:29.86,07:21.06,4,3
148,2015,全日本大学選手権大会,37,m2x,予選C組,4,西南学院大学,01:51.72,03:58.54,06:11.05,08:24.02,5,4
149,2015,全日本大学選手権大会,37,m2x,予選C組,6,,,,,,,6
150,2015,全日本大学選手権大会,38,m2x,予選D組,3,愛媛大学,01:41.32,03:31.18,05:22.19,07:06.63,1,3
151,2015,全日本大学選手権大会,38,m2x,予選D組,1,法政大学,01:42.13,03:29.89,05:20.56,07:06.91,2,1
152,2015,全日本大学選手権大会,38,m2x,予選D組,5,茨城大学,01:40.82,03:31.41,05:27.04,07:21.24,3,5
153,2015,全日本大学選手権大会,38,m2x,予選D組,4,東海大学,01:43.95,03:34.39,05:31.47,07:25.17,4,4
154,2015,全日本大学選手権大会,38,m2x,予選D組,2,山口大学,01:54.57,03:56.44,06:01.71,08:05.54,5,2
155,2015,全日本大学選手権大会,38,m2x,予選D組,6,,,,,,,6
156,2015,全日本大学選手権大会,39,m2x,予選E組,1,岐阜大学,01:42.53,03:32.69,05:27.73,07:21.86,1,1
157,2015,全日本大学選手権大会,39,m2x,予選E組,2,松山大学,01:45.37,03:39.56,05:37.65,07:33.03,2,2
158,2015,全日本大学選手権大会,39,m2x,予選E組,4,南山大学,01:48.78,03:44.62,05:42.85,07:39.02,3,4
159,2015,全日本大学選手権大会,39,m2x,予選E組,3,広島工業大学,01:46.96,03:42.96,05:47.16,07:46.89,4,3
160,2015,全日本大学選手権大会,39,m2x,予選E組,5,筑波大学,01:54.04,03:57.05,06:00.41,08:05.21,5,5
161,2015,全日本大学選手権大会,39,m2x,予選E組,6,,,,,,,6
162,2015,全日本大学選手権大会,40,m2x,予選F組,5,千葉大学,01:40.58,03:25.44,05:10.52,06:54.29,1,5
163,2015,全日本大学選手権大会,40,m2x,予選F組,3,立命館大学,01:40.36,03:24.44,05:13.09,06:59.97,2,3
