,year,tournament_name,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
175,2011,全日本大学選手権大会,36,m2x,予選H組,3,兵庫大学,01:45.33,03:37.91,05:30.68,07:22.47,2,
176,2011,全日本大学選手権大会,36,m2x,予選H組,2,大阪市立大学,01:48.50,03:41.59,05:37.27,07:32.23,3,
177,2011,全日本大学選手権大会,36,m2x,予選H組,4,追手門学院大学,01:48.05,03:42.66,05:42.34,07:43.68,4,
178,2011,全日本大学選手権大会,36,m2x,予選H組,1,名古屋工業大学,02:16.12,04:14.16,06:10.26,08:05.13,5,
179,2011,全日本大学選手権大会,36,m2x,予選H組,6,,,,,,,
180,2011,全日本大学選手権大会,96,m2x,敗復A組,3,日本大学,01:43.49,03:34.08,05:30.28,07:25.70,1,→Semi-Final
181,2011,全日本大学選手権大会,96,m2x,敗復A組,4,一橋大学,01:47.79,03:39.54,05:35.44,07:30.53,2,
182,2011,全日本大学選手権大会,96,m2x,敗復A組,5,追手門学院大学,01:49.42,03:44.64,05:43.98,07:45.18,3,
183,2011,全日本大学選手権大会,96,m2x,敗復A組,2,立教大学,01:53.50,03:50.47,05:53.41,07:55.13,4,
184,2011,全日本大学選手権大会,96,m2x,敗復A組,1,,,,,,,
185,2011,全日本大学選手権大会,96,m2x,敗復A組,6,,,,,,,
186,2011,全日本大学選手権大会,97,m2x,敗復B組,3,東京大学,01:44.45,03:35.31,05:28.68,07:29.65,1,→Semi-Final
187,2011,全日本大学選手権大会,97,m2x,敗復B組,4,東海大学,01:42.50,03:34.96,05:34.21,07:32.66,2,
188,2011,全日本大学選手権大会,97,m2x,敗復B組,5,関西学院大学,01:47.49,03:45.23,05:48.00,07:53.79,3,
189,2011,全日本大学選手権大会,97,m2x,敗復B組,2,学習院大学,01:51.93,03:52.33,05:55.27,07:59.73,4,
190,2011,全日本大学選手権大会,97,m2x,敗復B組,1,,,,,,,
191,2011,全日本大学選手権大会,97,m2x,敗復B組,6,,,,,,,
192,2011,全日本大学選手権大会,98,m2x,敗復C組,3,甲南大学,01:46.20,03:39.34,05:34.70,07:28.92,1,→Semi-Final
193,2011,全日本大学選手権大会,98,m2x,敗復C組,4,山口大学,01:42.97,03:42.14,05:43.44,07:46.14,2,
194,2011,全日本大学選手権大会,98,m2x,敗復C組,2,新潟大学,01:48.40,03:47.59,05:49.62,07:51.15,3,
195,2011,全日本大学選手権大会,98,m2x,敗復C組,5,東京医科歯科大学,01:51.47,03:49.21,05:51.44,07:53.00,4,
196,2011,全日本大学選手権大会,98,m2x,敗復C組,1,,,,,,,
197,2011,全日本大学選手権大会,98,m2x,敗復C組,6,,,,,,,
198,2011,全日本大学選手権大会,99,m2x,敗復D組,3,筑波大学,01:40.72,03:31.76,05:29.14,07:25.97,1,→Semi-Final
199,2011,全日本大学選手権大会,99,m2x,敗復D組,4,兵庫大学,01:46.20,03:42.25,05:42.60,07:41.92,2,
200,2011,全日本大学選手権大会,99,m2x,敗復D組,2,南山大学,01:50.67,03:50.46,05:53.75,07:52.53,3,
201,2011,全日本大学選手権大会,99,m2x,敗復D組,5,岐阜経済大学,01:48.43,03:50.14,05:58.06,08:06.10,4,
202,2011,全日本大学選手権大会,99,m2x,敗復D組,1,,,,,,,
203,2011,全日本大学選手権大会,99,m2x,敗復D組,6,,,,,,,
204,2011,全日本大学選手権大会,100,m2x,敗復E組,3,京都大学,01:43.72,03:36.90,05:31.00,07:23.63,1,→Semi-Final
205,2011,全日本大学選手権大会,100,m2x,敗復E組,4,千葉大学,01:49.62,03:43.68,05:39.48,07:33.91,2,
206,2011,全日本大学選手権大会,100,m2x,敗復E組,2,早稲田大学理工漕艇部,01:49.33,03:48.23,05:49.53,07:48.63,3,
207,2011,全日本大学選手権大会,100,m2x,敗復E組,5,東京農業大学網走,01:53.52,03:55.31,05:59.52,08:03.42,4,
208,2011,全日本大学選手権大会,100,m2x,敗復E組,1,,,,,,,
209,2011,全日本大学選手権大会,100,m2x,敗復E組,6,,,,,,,
210,2011,全日本大学選手権大会,101,m2x,敗復F組,3,仙台大学,01:48.00,03:41.26,05:36.08,07:24.58,1,→Semi-Final
211,2011,全日本大学選手権大会,101,m2x,敗復F組,4,首都大学東京,01:51.07,03:47.65,05:44.44,07:38.36,2,
212,2011,全日本大学選手権大会,101,m2x,敗復F組,2,小樽商科大学,01:46.61,03:42.04,05:44.16,07:46.38,3,
213,2011,全日本大学選手権大会,101,m2x,敗復F組,5,名古屋大学,01:52.75,03:59.19,06:04.24,08:07.23,4,
214,2011,全日本大学選手権大会,101,m2x,敗復F組,1,,,,,,,
