,year,tournament_name,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
168,2013,freshman,30,m2x,予選G組,1,富山国際大学B,01:40.59,03:26.10,05:13.15,07:01.59,1,→Semi-Final
169,2013,freshman,30,m2x,予選G組,3,立命館大学,01:41.46,03:30.81,05:20.56,07:09.26,2,
170,2013,freshman,30,m2x,予選G組,4,九州大学A,01:50.19,03:50.60,05:50.87,07:53.60,3,
171,2013,freshman,30,m2x,予選G組,5,立教大学B,01:55.59,03:55.25,05:57.85,08:02.90,4,
172,2013,freshman,30,m2x,予選G組,2,今治西高校C,01:56.97,03:59.97,06:04.80,08:11.03,5,
173,2013,freshman,30,m2x,予選G組,6,,,,,,,
174,2013,freshman,31,m2x,予選H組,3,関西高校,01:38.03,03:24.38,05:11.88,07:00.36,1,→Semi-Final
175,2013,freshman,31,m2x,予選H組,1,東海大学,01:37.46,03:25.74,05:19.22,07:08.37,2,
176,2013,freshman,31,m2x,予選H組,4,立教大学A,01:44.49,03:34.46,05:24.16,07:11.49,3,
177,2013,freshman,31,m2x,予選H組,2,今治西高校A,01:41.43,03:37.36,05:32.60,07:27.20,4,
178,2013,freshman,31,m2x,予選H組,5,東京工業大学,01:47.47,03:43.06,05:41.43,07:42.00,5,
179,2013,freshman,31,m2x,予選H組,6,,,,,,,
180,2013,freshman,32,m2x,予選I組,3,中央大学,01:39.19,03:26.22,05:17.30,07:07.48,1,→Semi-Final
181,2013,freshman,32,m2x,予選I組,5,明治大学,01:44.22,03:36.29,05:32.55,07:28.67,2,
182,2013,freshman,32,m2x,予選I組,1,今治西高校D,01:49.89,03:51.73,05:53.04,07:50.23,3,
183,2013,freshman,32,m2x,予選I組,2,一橋大学A,01:50.90,03:50.05,05:50.55,07:52.93,4,
184,2013,freshman,32,m2x,予選I組,4,一橋大学C,01:55.24,03:56.07,05:57.59,07:59.05,5,
185,2013,freshman,32,m2x,予選I組,6,,,,,,,
186,2013,freshman,33,m2x,予選J組,3,仙台大学,01:44.07,03:35.25,05:28.15,07:17.61,1,→Semi-Final
187,2013,freshman,33,m2x,予選J組,5,大阪市立大学,01:42.53,03:33.08,05:26.62,07:20.68,2,
188,2013,freshman,33,m2x,予選J組,2,東京大学,01:45.71,03:37.24,05:33.19,07:26.81,3,
